month,building_price_id,building_id,room_count,min_area,max_area,price_per_meter,max_price_per_meter,currency,is_sold
2024-04-24,14789,3538,2,0,0,0,0,uah,yes
2024-04-24,14786,3538,3,0,0,0,0,uah,yes
2024-04-24,14785,3538,2,0,0,0,0,uah,yes
2024-04-24,14782,3538,3,0,0,0,0,uah,yes
2024-04-24,14781,3538,2,0,0,0,0,uah,yes
2024-04-24,14777,3538,3,0,0,0,0,uah,yes
2024-04-24,14776,3538,2,0,0,0,0,uah,yes
2024-04-24,14774,3538,3,0,0,0,0,uah,yes
2024-04-24,14773,3538,2,0,0,0,0,uah,yes
2024-04-24,14771,3538,3,0,0,0,0,uah,yes
2024-04-24,14770,3538,2,0,0,0,0,uah,yes
2024-04-24,14763,3538,3,0,0,0,0,uah,yes
2024-04-24,14762,3538,2,0,0,0,0,uah,yes
2024-04-24,14759,1116,4,0,0,0,0,uah,yes
2024-04-24,14733,2171,3,0,0,0,0,interbank,yes
2024-04-24,14732,2171,2,57.2,59.5,874,962,interbank,no
2024-04-24,14731,2171,1,0,0,0,0,interbank,yes
2024-04-24,14711,3228,1,0,0,0,0,uah,yes
2024-04-24,14693,2892,3,0,0,0,0,interbank,yes
2024-04-24,14692,2892,2,0,0,0,0,interbank,yes
2024-04-24,14691,2892,1,0,0,0,0,interbank,yes
2024-04-24,14674,365,2,0,0,0,0,interbank,yes
2024-04-24,14673,365,1,0,0,0,0,interbank,yes
2024-04-24,14671,1909,3,0,0,0,0,interbank,yes
2024-04-24,14668,2223,1,52,154,1080,1250,interbank,no
2024-04-24,14662,4203,3,0,0,0,0,uah,yes
2024-04-24,14661,4203,2,0,0,0,0,uah,yes
2024-04-24,14660,4203,1,0,0,0,0,uah,yes
2024-04-24,14634,4245,2,0,0,0,0,interbank,yes
2024-04-24,14633,4245,1,0,0,0,0,interbank,yes
2024-04-24,14622,470,3,80.2,143.3,3200,4000,interbank,no
2024-04-24,14621,470,2,65.2,74.9,3200,4000,interbank,no
2024-04-24,14615,470,1,0,0,0,0,interbank,yes
2024-04-24,14614,3312,2,0,0,0,0,interbank,yes
2024-04-24,14613,3312,1,0,0,0,0,interbank,yes
2024-04-24,14605,4025,1,0,0,0,0,interbank,yes
2024-04-24,14604,4025,2,0,0,0,0,interbank,yes
2024-04-24,14603,4025,2,0,0,0,0,interbank,yes
2024-04-24,14601,4287,3,0,0,0,0,interbank,yes
2024-04-24,14599,4287,1,0,0,0,0,interbank,yes
2024-04-24,14589,3899,3,0,0,0,0,uah,yes
2024-04-24,14588,3899,2,0,0,0,0,uah,yes
2024-04-24,14587,3899,1,0,0,0,0,uah,yes
2024-04-24,14586,3289,3,0,0,0,0,uah,yes
2024-04-24,14577,3171,2,0,0,0,0,uah,yes
2024-04-24,14576,3171,1,0,0,0,0,uah,yes
2024-04-24,14567,4295,2,0,0,0,0,uah,yes
2024-04-24,14566,4295,1,0,0,0,0,uah,yes
2024-04-24,14516,4353,3,0,0,0,0,interbank,yes
2024-04-24,14515,4353,2,0,0,0,0,interbank,yes
2024-04-24,14514,4353,1,0,0,0,0,interbank,yes
2024-04-24,14512,369,3,77.5,77.79,716,728,interbank,no
2024-04-24,14510,1107,2,74,87,32000,36000,uah,no
2024-04-24,14505,4259,4,0,0,0,0,uah,yes
2024-04-24,14504,4259,3,0,0,0,0,uah,yes
2024-04-24,14503,4259,2,0,0,0,0,uah,yes
2024-04-24,14502,4259,1,0,0,0,0,uah,yes
2024-04-24,14495,2387,2,0,0,0,0,interbank,yes
2024-04-24,14486,3577,1,0,0,0,0,uah,yes
2024-04-24,14465,4305,1,0,0,0,0,uah,yes
2024-04-24,14464,4305,2,0,0,0,0,uah,yes
2024-04-24,14463,4305,3,0,0,0,0,uah,yes
2024-04-24,14452,3381,2,0,0,0,0,interbank,yes
2024-04-24,14451,3381,1,24.86,55.5,1100,1100,interbank,no
2024-04-24,14400,2435,3,0,0,0,0,uah,yes
2024-04-24,14399,2435,2,0,0,0,0,uah,yes
2024-04-24,14398,2435,1,0,0,0,0,uah,yes
2024-04-24,14395,4263,5,0,0,0,0,uah,yes
2024-04-24,14394,4263,4,0,0,0,0,uah,yes
2024-04-24,14393,4263,3,0,0,0,0,uah,yes
2024-04-24,14392,4263,2,0,0,0,0,uah,yes
2024-04-24,14391,4263,1,0,0,0,0,uah,yes
2024-04-24,14377,4278,3,0,0,0,0,interbank,yes
2024-04-24,14376,4278,2,0,0,0,0,interbank,yes
2024-04-24,14375,4278,1,0,0,0,0,interbank,yes
2024-04-24,14371,2929,3,0,0,0,0,uah,yes
2024-04-24,14370,2929,2,0,0,0,0,uah,yes
2024-04-24,14359,4059,2,57.5,61.6,22360,26553,uah,no
2024-04-24,14358,4059,1,0,0,0,0,uah,yes
2024-04-24,14357,2801,1,0,0,0,0,uah,yes
2024-04-24,14331,4266,2,0,0,0,0,uah,yes
2024-04-24,14330,4266,1,0,0,0,0,uah,yes
2024-04-24,14320,814,2,0,0,0,0,interbank,yes
2024-04-24,14318,814,1,52,52,1250,1250,interbank,no
2024-04-24,14307,369,2,0,0,0,0,interbank,yes
2024-04-24,14306,369,1,33.5,34.5,761,761,interbank,no
2024-04-24,14304,4276,2,0,0,0,0,interbank,yes
2024-04-24,14303,4276,1,0,0,0,0,interbank,yes
2024-04-24,14302,4250,2,0,0,0,0,uah,yes
2024-04-24,14301,4250,1,0,0,0,0,uah,yes
2024-04-24,14286,3494,2,0,0,0,0,interbank,yes
2024-04-24,14285,3494,1,0,0,0,0,interbank,yes
2024-04-24,14284,3494,3,0,0,0,0,interbank,yes
2024-04-24,14283,3494,2,0,0,0,0,interbank,yes
2024-04-24,14281,3494,1,0,0,0,0,interbank,yes
2024-04-24,14270,4164,3,0,0,0,0,uah,yes
